relative_compactness,surface_area,wall_area,roof_area,height,orientation,glazing_area,glazing_dist,heating_load,cooling_load,floor_area_pyeong
0.71,710.5,269.5,220.5,3.5,2.0,0.1,2.0,10.64,13.67,66.7
0.71,710.5,269.5,220.5,3.5,3.0,0.1,2.0,10.72,14.11,66.7
0.71,710.5,269.5,220.5,3.5,4.0,0.1,2.0,10.55,13.8,66.7
0.71,710.5,269.5,220.5,3.5,5.0,0.1,2.0,10.68,14.21,66.7
0.69,735.0,294.0,220.5,3.5,2.0,0.1,2.0,11.45,13.2,66.7
0.69,735.0,294.0,220.5,3.5,3.0,0.1,2.0,11.46,13.54,66.7
0.69,735.0,294.0,220.5,3.5,4.0,0.1,2.0,11.32,13.32,66.7
0.69,735.0,294.0,220.5,3.5,5.0,0.1,2.0,11.49,13.51,66.7
0.66,759.5,318.5,220.5,3.5,2.0,0.1,2.0,11.45,14.86,66.7
0.66,759.5,318.5,220.5,3.5,3.0,0.1,2.0,11.42,14.75,66.7
0.66,759.5,318.5,220.5,3.5,4.0,0.1,2.0,11.33,15.0,66.7
0.66,759.5,318.5,220.5,3.5,5.0,0.1,2.0,11.43,14.74,66.7
0.64,784.0,343.0,220.5,3.5,2.0,0.1,2.0,15.41,19.23,66.7
0.64,784.0,343.0,220.5,3.5,3.0,0.1,2.0,15.18,19.34,66.7
0.64,784.0,343.0,220.5,3.5,4.0,0.1,2.0,15.34,19.32,66.7
0.64,784.0,343.0,220.5,3.5,5.0,0.1,2.0,15.19,19.3,66.7
0.62,808.5,367.5,220.5,3.5,2.0,0.1,2.0,12.88,14.37,66.7
0.62,808.5,367.5,220.5,3.5,3.0,0.1,2.0,13.0,14.57,66.7
0.62,808.5,367.5,220.5,3.5,4.0,0.1,2.0,12.97,14.27,66.7
0.62,808.5,367.5,220.5,3.5,5.0,0.1,2.0,13.04,14.24,66.7
0.98,514.5,294.0,110.25,7.0,2.0,0.1,3.0,24.28,25.68,33.35
0.98,514.5,294.0,110.25,7.0,3.0,0.1,3.0,24.4,26.02,33.35
0.98,514.5,294.0,110.25,7.0,4.0,0.1,3.0,24.11,25.84,33.35
0.98,514.5,294.0,110.25,7.0,5.0,0.1,3.0,24.35,26.14,33.35
0.9,563.5,318.5,122.5,7.0,2.0,0.1,3.0,28.07,34.14,37.06
0.9,563.5,318.5,122.5,7.0,3.0,0.1,3.0,29.01,32.85,37.06
0.9,563.5,318.5,122.5,7.0,4.0,0.1,3.0,29.62,30.08,37.06
0.9,563.5,318.5,122.5,7.0,5.0,0.1,3.0,29.05,29.67,37.06
0.86,588.0,294.0,147.0,7.0,2.0,0.1,3.0,25.41,31.73,44.47
0.86,588.0,294.0,147.0,7.0,3.0,0.1,3.0,26.47,31.01,44.47
0.86,588.0,294.0,147.0,7.0,4.0,0.1,3.0,26.89,25.9,44.47
0.86,588.0,294.0,147.0,7.0,5.0,0.1,3.0,26.46,27.4,44.47
0.82,612.5,318.5,147.0,7.0,2.0,0.1,3.0,22.93,28.68,44.47
0.82,612.5,318.5,147.0,7.0,3.0,0.1,3.0,23.84,27.54,44.47
0.82,612.5,318.5,147.0,7.0,4.0,0.1,3.0,24.17,25.35,44.47
0.82,612.5,318.5,147.0,7.0,5.0,0.1,3.0,23.87,24.93,44.47
0.79,637.0,343.0,147.0,7.0,2.0,0.1,3.0,35.78,43.12,44.47
0.79,637.0,343.0,147.0,7.0,3.0,0.1,3.0,35.48,41.22,44.47
0.79,637.0,343.0,147.0,7.0,4.0,0.1,3.0,36.97,35.1,44.47
0.79,637.0,343.0,147.0,7.0,5.0,0.1,3.0,36.7,34.29,44.47
0.76,661.5,416.5,122.5,7.0,2.0,0.1,3.0,32.52,33.85,37.06
0.76,661.5,416.5,122.5,7.0,3.0,0.1,3.0,33.28,34.11,37.06
0.76,661.5,416.5,122.5,7.0,4.0,0.1,3.0,32.33,34.48,37.06
0.76,661.5,416.5,122.5,7.0,5.0,0.1,3.0,33.24,34.5,37.06
0.74,686.0,245.0,220.5,3.5,2.0,0.1,3.0,10.39,13.6,66.7
0.74,686.0,245.0,220.5,3.5,3.0,0.1,3.0,10.34,13.36,66.7
0.74,686.0,245.0,220.5,3.5,4.0,0.1,3.0,10.35,13.65,66.7
0.74,686.0,245.0,220.5,3.5,5.0,0.1,3.0,10.38,13.49,66.7
0.71,710.5,269.5,220.5,3.5,2.0,0.1,3.0,10.77,14.14,66.7
0.71,710.5,269.5,220.5,3.5,3.0,0.1,3.0,10.68,13.77,66.7
0.71,710.5,269.5,220.5,3.5,4.0,0.1,3.0,10.68,14.3,66.7
0.71,710.5,269.5,220.5,3.5,5.0,0.1,3.0,10.7,13.87,66.7
0.69,735.0,294.0,220.5,3.5,2.0,0.1,3.0,11.22,14.44,66.7
0.69,735.0,294.0,220.5,3.5,3.0,0.1,3.0,11.16,14.27,66.7
0.69,735.0,294.0,220.5,3.5,4.0,0.1,3.0,11.1,14.67,66.7
0.69,735.0,294.0,220.5,3.5,5.0,0.1,3.0,11.14,14.4,66.7
0.66,759.5,318.5,220.5,3.5,2.0,0.1,3.0,11.59,13.46,66.7
0.66,759.5,318.5,220.5,3.5,3.0,0.1,3.0,11.6,13.7,66.7
0.66,759.5,318.5,220.5,3.5,4.0,0.1,3.0,11.53,13.59,66.7
0.66,759.5,318.5,220.5,3.5,5.0,0.1,3.0,11.61,13.83,66.7
0.64,784.0,343.0,220.5,3.5,2.0,0.1,3.0,15.16,19.14,66.7
0.64,784.0,343.0,220.5,3.5,3.0,0.1,3.0,15.36,19.18,66.7
0.64,784.0,343.0,220.5,3.5,4.0,0.1,3.0,15.12,19.37,66.7
0.64,784.0,343.0,220.5,3.5,5.0,0.1,3.0,15.36,19.29,66.7
0.62,808.5,367.5,220.5,3.5,2.0,0.1,3.0,12.68,14.09,66.7
0.62,808.5,367.5,220.5,3.5,3.0,0.1,3.0,12.63,14.23,66.7
0.62,808.5,367.5,220.5,3.5,4.0,0.1,3.0,12.71,14.14,66.7
0.62,808.5,367.5,220.5,3.5,5.0,0.1,3.0,12.73,13.89,66.7
0.98,514.5,294.0,110.25,7.0,2.0,0.1,4.0,24.38,25.91,33.35
0.98,514.5,294.0,110.25,7.0,3.0,0.1,4.0,24.23,25.72,33.35
0.98,514.5,294.0,110.25,7.0,4.0,0.1,4.0,24.04,26.18,33.35
0.98,514.5,294.0,110.25,7.0,5.0,0.1,4.0,24.32,25.87,33.35
0.9,563.5,318.5,122.5,7.0,2.0,0.1,4.0,29.06,29.34,37.06
0.9,563.5,318.5,122.5,7.0,3.0,0.1,4.0,28.05,33.91,37.06
0.9,563.5,318.5,122.5,7.0,4.0,0.1,4.0,28.86,32.83,37.06
0.9,563.5,318.5,122.5,7.0,5.0,0.1,4.0,29.79,29.92,37.06
0.86,588.0,294.0,147.0,7.0,2.0,0.1,4.0,26.44,27.17,44.47
0.86,588.0,294.0,147.0,7.0,3.0,0.1,4.0,25.37,31.76,44.47
0.86,588.0,294.0,147.0,7.0,4.0,0.1,4.0,26.33,31.06,44.47
0.86,588.0,294.0,147.0,7.0,5.0,0.1,4.0,27.03,25.81,44.47
0.82,612.5,318.5,147.0,7.0,2.0,0.1,4.0,23.8,24.61,44.47
0.82,612.5,318.5,147.0,7.0,3.0,0.1,4.0,22.8,28.61,44.47
0.82,612.5,318.5,147.0,7.0,4.0,0.1,4.0,23.59,27.57,44.47
0.82,612.5,318.5,147.0,7.0,5.0,0.1,4.0,24.24,25.16,44.47
0.79,637.0,343.0,147.0,7.0,2.0,0.1,4.0,36.86,34.25,44.47
0.79,637.0,343.0,147.0,7.0,3.0,0.1,4.0,35.89,43.3,44.47
0.79,637.0,343.0,147.0,7.0,4.0,0.1,4.0,35.45,41.86,44.47
0.79,637.0,343.0,147.0,7.0,5.0,0.1,4.0,37.1,35.29,44.47
0.76,661.5,416.5,122.5,7.0,2.0,0.1,4.0,33.08,34.11,37.06
0.76,661.5,416.5,122.5,7.0,3.0,0.1,4.0,32.38,33.62,37.06
0.76,661.5,416.5,122.5,7.0,4.0,0.1,4.0,33.09,33.89,37.06
0.76,661.5,416.5,122.5,7.0,5.0,0.1,4.0,32.31,34.05,37.06
0.74,686.0,245.0,220.5,3.5,2.0,0.1,4.0,10.08,13.2,66.7
0.74,686.0,245.0,220.5,3.5,3.0,0.1,4.0,10.15,13.36,66.7
0.74,686.0,245.0,220.5,3.5,4.0,0.1,4.0,10.07,13.21,66.7
0.74,686.0,245.0,220.5,3.5,5.0,0.1,4.0,10.14,13.53,66.7
0.71,710.5,269.5,220.5,3.5,2.0,0.1,4.0,10.66,13.67,66.7
0.71,710.5,269.5,220.5,3.5,3.0,0.1,4.0,10.68,14.12,66.7
0.71,710.5,269.5,220.5,3.5,4.0,0.1,4.0,10.53,13.79,66.7
0.71,710.5,269.5,220.5,3.5,5.0,0.1,4.0,10.72,14.2,66.7
0.69,735.0,294.0,220.5,3.5,2.0,0.1,4.0,11.18,14.29,66.7
0.69,735.0,294.0,220.5,3.5,3.0,0.1,4.0,11.22,14.49,66.7
0.69,735.0,294.0,220.5,3.5,4.0,0.1,4.0,11.07,14.42,66.7
0.69,735.0,294.0,220.5,3.5,5.0,0.1,4.0,11.2,14.73,66.7
0.66,759.5,318.5,220.5,3.5,2.0,0.1,4.0,11.44,14.86,66.7
0.66,759.5,318.5,220.5,3.5,3.0,0.1,4.0,11.42,14.67,66.7
0.66,759.5,318.5,220.5,3.5,4.0,0.1,4.0,11.33,15.0,66.7
0.66,759.5,318.5,220.5,3.5,5.0,0.1,4.0,11.43,14.83,66.7
0.64,784.0,343.0,220.5,3.5,2.0,0.1,4.0,15.4,19.24,66.7
0.64,784.0,343.0,220.5,3.5,3.0,0.1,4.0,15.19,19.25,66.7
0.64,784.0,343.0,220.5,3.5,4.0,0.1,4.0,15.32,19.42,66.7
0.64,784.0,343.0,220.5,3.5,5.0,0.1,4.0,15.16,19.48,66.7
0.62,808.5,367.5,220.5,3.5,2.0,0.1,4.0,12.85,14.37,66.7
0.62,808.5,367.5,220.5,3.5,3.0,0.1,4.0,13.04,14.34,66.7
0.62,808.5,367.5,220.5,3.5,4.0,0.1,4.0,13.0,14.28,66.7
0.62,808.5,367.5,220.5,3.5,5.0,0.1,4.0,13.0,14.47,66.7
0.98,514.5,294.0,110.25,7.0,2.0,0.1,5.0,24.35,25.64,33.35
0.98,514.5,294.0,110.25,7.0,3.0,0.1,5.0,24.33,25.98,33.35
0.98,514.5,294.0,110.25,7.0,4.0,0.1,5.0,24.03,25.88,33.35
0.98,514.5,294.0,110.25,7.0,5.0,0.1,5.0,24.26,26.18,33.35
0.9,563.5,318.5,122.5,7.0,2.0,0.1,5.0,29.83,29.82,37.06
0.9,563.5,318.5,122.5,7.0,3.0,0.1,5.0,29.08,29.52,37.06
0.9,563.5,318.5,122.5,7.0,4.0,0.1,5.0,28.03,34.45,37.06
0.9,563.5,318.5,122.5,7.0,5.0,0.1,5.0,29.02,33.01,37.06
0.86,588.0,294.0,147.0,7.0,2.0,0.1,5.0,27.03,25.82,44.47
0.86,588.0,294.0,147.0,7.0,3.0,0.1,5.0,26.45,27.33,44.47
0.86,588.0,294.0,147.0,7.0,4.0,0.1,5.0,25.36,32.04,44.47
0.86,588.0,294.0,147.0,7.0,5.0,0.1,5.0,26.45,31.28,44.47
0.82,612.5,318.5,147.0,7.0,2.0,0.1,5.0,24.37,25.11,44.47
0.82,612.5,318.5,147.0,7.0,3.0,0.1,5.0,23.89,24.77,44.47
0.82,612.5,318.5,147.0,7.0,4.0,0.1,5.0,22.89,28.88,44.47
0.82,612.5,318.5,147.0,7.0,5.0,0.1,5.0,23.86,27.69,44.47
0.79,637.0,343.0,147.0,7.0,2.0,0.1,5.0,37.03,34.99,44.47
0.79,637.0,343.0,147.0,7.0,3.0,0.1,5.0,36.71,34.18,44.47
0.79,637.0,343.0,147.0,7.0,4.0,0.1,5.0,36.77,43.14,44.47
0.79,637.0,343.0,147.0,7.0,5.0,0.1,5.0,35.48,41.26,44.47
0.76,661.5,416.5,122.5,7.0,2.0,0.1,5.0,32.31,34.25,37.06
0.76,661.5,416.5,122.5,7.0,3.0,0.1,5.0,33.21,34.35,37.06
0.76,661.5,416.5,122.5,7.0,4.0,0.1,5.0,32.46,33.64,37.06
0.76,661.5,416.5,122.5,7.0,5.0,0.1,5.0,33.27,33.88,37.06
0.74,686.0,245.0,220.5,3.5,2.0,0.1,5.0,10.47,13.65,66.7
0.74,686.0,245.0,220.5,3.5,3.0,0.1,5.0,10.37,13.44,66.7
0.74,686.0,245.0,220.5,3.5,4.0,0.1,5.0,10.34,13.72,66.7
0.74,686.0,245.0,220.5,3.5,5.0,0.1,5.0,10.39,13.5,66.7
0.71,710.5,269.5,220.5,3.5,2.0,0.1,5.0,10.78,14.18,66.7
0.71,710.5,269.5,220.5,3.5,3.0,0.1,5.0,10.7,13.75,66.7
0.71,710.5,269.5,220.5,3.5,4.0,0.1,5.0,10.67,14.26,66.7
0.71,710.5,269.5,220.5,3.5,5.0,0.1,5.0,13.69,13.89,66.7
0.69,735.0,294.0,220.5,3.5,2.0,0.1,5.0,11.21,14.55,66.7
0.69,735.0,294.0,220.5,3.5,3.0,0.1,5.0,11.14,14.28,66.7
0.69,735.0,294.0,220.5,3.5,4.0,0.1,5.0,11.11,14.46,66.7
0.69,735.0,294.0,220.5,3.5,5.0,0.1,5.0,11.16,14.39,66.7
0.66,759.5,318.5,220.5,3.5,2.0,0.1,5.0,11.38,14.54,66.7
0.66,759.5,318.5,220.5,3.5,3.0,0.1,5.0,11.34,14.81,66.7
0.66,759.5,318.5,220.5,3.5,4.0,0.1,5.0,11.22,14.65,66.7
0.66,759.5,318.5,220.5,3.5,5.0,0.1,5.0,11.34,14.87,66.7
0.64,784.0,343.0,220.5,3.5,2.0,0.1,5.0,15.16,19.24,66.7
0.64,784.0,343.0,220.5,3.5,3.0,0.1,5.0,15.37,19.18,66.7
0.64,784.0,343.0,220.5,3.5,4.0,0.1,5.0,15.12,19.26,66.7
0.64,784.0,343.0,220.5,3.5,5.0,0.1,5.0,15.36,19.29,66.7
0.62,808.5,367.5,220.5,3.5,2.0,0.1,5.0,12.59,14.24,66.7
0.62,808.5,367.5,220.5,3.5,3.0,0.1,5.0,12.74,13.97,66.7
0.62,808.5,367.5,220.5,3.5,4.0,0.1,5.0,12.8,13.99,66.7
0.62,808.5,367.5,220.5,3.5,5.0,0.1,5.0,12.62,14.15,66.7
0.98,514.5,294.0,110.25,7.0,2.0,0.25,1.0,28.15,29.79,33.35
0.98,514.5,294.0,110.25,7.0,3.0,0.25,1.0,28.15,29.79,33.35
0.98,514.5,294.0,110.25,7.0,4.0,0.25,1.0,28.37,29.28,33.35
0.98,514.5,294.0,110.25,7.0,5.0,0.25,1.0,28.41,29.49,33.35
0.9,563.5,318.5,122.5,7.0,2.0,0.25,1.0,32.68,36.12,37.06
0.9,563.5,318.5,122.5,7.0,3.0,0.25,1.0,33.48,33.17,37.06
0.9,563.5,318.5,122.5,7.0,4.0,0.25,1.0,32.84,32.71,37.06
0.9,563.5,318.5,122.5,7.0,5.0,0.25,1.0,32.0,37.58,37.06
0.86,588.0,294.0,147.0,7.0,2.0,0.25,1.0,29.54,33.98,44.47
0.86,588.0,294.0,147.0,7.0,3.0,0.25,1.0,30.05,28.61,44.47
0.86,588.0,294.0,147.0,7.0,4.0,0.25,1.0,29.6,30.12,44.47
0.86,588.0,294.0,147.0,7.0,5.0,0.25,1.0,28.66,34.73,44.47
0.82,612.5,318.5,147.0,7.0,2.0,0.25,1.0,26.84,30.17,44.47
0.82,612.5,318.5,147.0,7.0,3.0,0.25,1.0,27.27,27.84,44.47
0.82,612.5,318.5,147.0,7.0,4.0,0.25,1.0,26.97,27.25,44.47
0.82,612.5,318.5,147.0,7.0,5.0,0.25,1.0,26.19,31.39,44.47
0.79,637.0,343.0,147.0,7.0,2.0,0.25,1.0,38.67,43.8,44.47
0.79,637.0,343.0,147.0,7.0,3.0,0.25,1.0,40.03,37.81,44.47
0.79,637.0,343.0,147.0,7.0,4.0,0.25,1.0,39.86,36.85,44.47
0.79,637.0,343.0,147.0,7.0,5.0,0.25,1.0,39.04,45.52,44.47
0.76,661.5,416.5,122.5,7.0,2.0,0.25,1.0,36.96,36.85,37.06
0.76,661.5,416.5,122.5,7.0,3.0,0.25,1.0,36.13,37.58,37.06
0.76,661.5,416.5,122.5,7.0,4.0,0.25,1.0,36.91,37.45,37.06
0.76,661.5,416.5,122.5,7.0,5.0,0.25,1.0,36.43,36.62,37.06
0.74,686.0,245.0,220.5,3.5,2.0,0.25,1.0,12.43,15.19,66.7
0.74,686.0,245.0,220.5,3.5,3.0,0.25,1.0,12.5,15.5,66.7
0.74,686.0,245.0,220.5,3.5,4.0,0.25,1.0,12.41,15.28,66.7
